"Alistipes","Bacteroides","Bifidobacterium","Blautia","Butyrivibrio","Caloramator","Clostridium","Coptotermes","Dethiobacter","Dorea","Escherichia","Eubacterium","Faecalibacterium","Heliobacterium","Hespellia","Kineococcus","Lactobacillus","Listeria","Parabacteroides","Peptococcus","Prevotella","Propionibacterium","Reinekea","Riemerella","Roseburia","Ruminococcus","Selenomonas","Synechococcus","Syntrophus","all_others"
930,37414,402,2237,273,79,2651,386,0,639,5,3018,3305,0,138,6799,4666,51,7042,2,3453,0,0,0,519,848,138,1736,384,6051
1727,9694,84,5702,1706,435,5351,982,1060,261,814,1490,6026,2135,35,5912,2125,597,1927,75,1023,782,8879,0,540,895,597,1157,1922,16104
11955,14521,291,961,1,30,1957,357,366,5,116,835,4831,2140,26,7323,1831,897,9109,0,47,176,2432,0,25,2245,47,479,601,7934
2088,19043,349,736,335,167,4362,1042,780,170,1067,2441,4669,1120,19,5385,2103,278,1889,1273,93,1806,6117,0,506,1115,596,1605,428,10292
9419,444,142,342,244,19,813,150,59,47,3,512,902,333,13,528,641,265,7019,2,0,244,1017,0,2,738,8,181,47,2222
0,1768,485,1378,25,21,3916,348,84,10,12,282,5132,1433,189,1210,2662,4588,0,1,0,483,3250,0,2,1279,9,352,151,12847
2033,8928,317,1384,78,81,2004,195,0,198,0,1304,2139,0,100,2684,1936,25,4905,415,0,0,0,0,502,1715,36,506,83,2658
1924,9795,1106,961,108,26,1902,93,632,70,29,1090,3773,550,172,3745,457,212,1839,3,0,176,2280,0,147,1270,7,653,117,4653
906,2925,50,1677,416,165,1680,391,768,14,1,764,2768,694,57,1433,627,3948,1316,25,303,363,3877,0,56,467,223,679,433,8879
2436,20511,902,1287,147,48,2463,454,370,58,0,1933,3162,1358,2,6793,1102,46,4462,1,0,34,2574,0,1329,743,19,592,106,6078
1195,6759,523,1044,182,369,3066,1902,1157,215,11,1893,4407,1266,222,2233,2351,433,1577,5,637,1382,6092,0,54,856,434,614,256,9935
2180,6652,265,1059,316,26,1518,382,0,275,0,2489,3373,0,20,2321,2286,12,1608,29,6,0,0,0,972,2192,33,1275,130,6777
8975,5246,404,2440,60,109,3367,1388,2560,1478,173,772,2086,958,68,3129,1481,557,4725,2,250,553,6640,0,97,910,261,1169,1352,11147
